PHÂN LOẠI VIDEO,THÔNG TIN TRÍCH XUẤT THEO LOẠI,THÔNG TIN CHUNG,row_index,THÔNG TIN TRÍCH XUẤT,phan_loai_video,thong_tin_theo_loai,thong_tin_chung,loại_video,thông_tin_loại,thông_tin_chung,thong_tin_video,REVIEW ĐỒ ĂN,NẤU ĂN,MUKBANG,KHÁC,thông_tin_chi_tiet,thong_tin_trich_xuat,thong_tin_review_do_an,thong_tin_loai,error,PHAN_LOAI_VIDEO,THONG_TIN_THEO_LOAI,THONG_TIN_CHUNG,THÔNG TIN BỔ SUNG,thong_tin_khac,video_type,category_info,general_info,PHÂN LOẠI VIDEO (dự phòng - nội dung chính khác với phân loại),THÔNG TIN TRÍCH XUẤT THEO LOẠI (dự phòng - nội dung chính khác với phân loại),THÔNG TIN KHÁC,loai_video,OUTPUT_FORMAT,Lý do phân loại Review đồ ăn,Lý do chọn 'ngoài đường' làm địa điểm,Lưu ý về 'tên_quán',review_info,nau_an_info,mukbang_info,khac_info,THONG_TIN_TRICH_XUAT,Phân loại video,Thông tin trích xuất,Thông tin chung,thông_tin_trích_xuất,message,extracted_info,common_info,phân_loại_video,thông_tin_theo_loại,phan_tich_them,thong_tin_nau_an,thong_tin_mukbang,thong_tin,LƯU Ý,thông_tin_chi_tiết,ghi_chu,1. PHÂN LOẠI VIDEO,2. THÔNG TIN TRÍCH XUẤT THEO LOẠI,3. THÔNG TIN CHUNG
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'canh kim chi cá ngừ', 'món_phụ': 'thịt nướng, rau sống', 'nguyên_liệu': ['kim chi chua', 'cá ngừ hộp', 'ba chỉ bò', 'rau'], 'đánh_giá': 'tích cực'}}","{'giá_cả': 'không rõ ràng, chỉ đề cập việc tiết kiệm khi mua sắm', 'tên_quán': 'không có', 'giờ_hoạt_động': 'không có', 'số_người': 2}",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'tình trạng bánh que sô cô la ông già', 'từ_khóa': ['bánh que sô cô la ông già', 'ngừng sản xuất', 'tuổi thơ', 'tháng 8 năm 2022', 'không còn bán'], 'tóm_tắt': 'Video thảo luận về việc bánh que sô cô la ông già không còn được sản xuất trên thị trường hiện tại, người nói bày tỏ sự tiếc nuối vì đây là món ăn gợi nhớ tuổi thơ và thông tin video gốc được quay vào tháng 8/2022 khi bánh vẫn còn bán.'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['trà sữa thố đất nung'], 'địa_điểm': ['Sài Gòn', 'quận 11', 'đường số 3 khu xá lữ gia'], 'đánh_giá': 'tích cực'}}","{'giá_cả': '35k/thố', 'tên_quán': 'trà chanh bánh tráng', 'giờ_hoạt_động': None, 'số_người': '1-2'}",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,,,,Chưa xác định,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['lương khô việt nam', 'lương khô bay', 'lương khô quân đội'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}}","{'giá_cả': [], 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['đồ chiên', 'đồ nướng', 'bò tảng', 'ba chỉ bò cuộn nấm', 'thịt heo', 'bẹ lòng bò', 'lòng bò', 'sườn', 'chân cánh gà', 'bạch tuộc', 'kim bắp chiên', 'khoai tây chiên', 'viên phô mai', 'bánh su kem'], 'địa_điểm': ['quận bắc từ liêm', 'phú diễn', 'số 171'], 'đánh_giá': 'tích cực'}}","{'giá_cả': ['buffet 139', 'buffet phô mai 15 cành'], 'tên_quán': 'quán vũ', 'giờ_hoạt_động': None, 'số_người': None}",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['ghẹ', 'mực', 'ngao', 'ốc móng tay', 'vẹm', 'thịt bò', 'mì rau nấm', 'tokbokki', 'kimbap', 'miến trộn', 'panchan', 'cháo'], 'địa_điểm': 'Hà Nội, Landmark 72, Trần Duy Hưng', 'đánh_giá': 'tích cực'}}","{'giá_cả': '259.000 VND (buffet)', 'tên_quán': 'Maro 259', 'giờ_hoạt_động': None, 'số_người': None}",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['gà rán', 'gà xào phô mai', 'salad gà xé', 'cheeseball'], 'địa_điểm': 'Pháo Đài Láng, Hà Nội', 'đánh_giá': 'tích cực'}}","{'giá_cả': '80-90k/người (combo)', 'tên_quán': 'CC Box', 'giờ_hoạt_động': None, 'số_người': '4-5 người'}",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,,Khác,"{'khac': {'chu_de': 'kỷ niệm về quá khứ, tình yêu thời trẻ của bố mẹ', 'tu_khoa': ['quá khứ', 'kỷ niệm', 'tình yêu', 'bố mẹ', 'tuổi thơ'], 'tom_tat': 'Mẹ kể về thời trẻ đẹp của mình và tình yêu lãng mạn với bố, những kỷ niệm hẹn hò bằng xe đạp.'}}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'ấn tượng tích cực', 'từ_khóa': ['tuyệt vời', 'ấn tượng', 'ngắn gọn', 'phản hồi', 'ẩm thực (ngầm hiểu)'], 'tóm_tắt': 'Video thể hiện phản hồi tích cực ngắn gọn về một nội dung ẩm thực nào đó, có thể là món ăn hoặc trải nghiệm.'}}",{},20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['gỏi cuốn'], 'địa_điểm': ['Hội An'], 'đánh_giá': 'tiêu cực'}}","{'giá_cả': '40.000đ một cuốn', 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'cơm đậu hũ trứng thịt băm', 'món_phụ': [], 'nguyên_liệu': ['đậu hũ non', 'trứng', 'thịt băm', 'tỏi', 'hành', 'muối', 'cơm', 'xốt'], 'đánh_giá': 'tích cực'}}","{'giá_cả': '30.000 (tổng bữa cơm), đậu hũ non 10.000, trứng 10.000, thịt băm 10.000', 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 3}",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'Bánh mì chiên trứng sữa', 'món_phụ': [], 'nguyên_liệu': ['trứng gà (2 quả)', 'đường (1 thìa)', 'dầu ăn (1 thìa)', 'sữa tươi (200 ml)', 'bột mì (400 gram)'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['cua tuyết'], 'địa_điểm': ['siêu thị'], 'đánh_giá': ['tích cực']}}","{'giá_cả': ['cua tuyết 690 yên/dĩa 3 con (khoảng 120 cành)'], 'tên_quán': ['siêu thị'], 'giờ_hoạt_động': [], 'số_người': []}",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'hột vịt lộn um bầu', 'món_phụ': 'mồng tơi, cơm', 'nguyên_liệu': ['hột vịt lộn', 'bầu', 'hành tím', 'nước dừa', 'mồng tơi', 'hạt nêm', 'muối tiêu chanh'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 2}",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,27,,Khác,,{},,,,"{'chu_de': 'Tâm trạng và cảm xúc cá nhân', 'tu_khoa': ['vui', 'cô đơn', 'nụ cười xinh', 'bé tí teo', 'không lớn'], 'tom_tat': 'Transcript thể hiện tâm trạng vui vẻ, yêu bản thân, mong muốn giữ mãi sự trẻ con và tránh khỏi những muộn phiền trong cuộc sống.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'thịt xào dứa', 'món_phụ': [], 'nguyên_liệu': ['thịt nạc vai', 'dứa', 'hành lá', 'hạt nêm', 'nước mắm', 'dầu hào', 'tương ớt'], 'đánh_giá': 'tích cực'}}","{'giá_cả': '2.000 hành lá', 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['bánh ông già', 'tony socola', 'búp con', 'ái da'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}}","{'giá_cả': 'có', 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': ['2']}",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,,"{'giá_cả': [], 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",30,"{'REVIEW ĐỒ ĂN': {'món_chính': ['trái nhàu'], 'địa_điểm': [], 'đánh_giá': 'trung lập'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,,"{'giá_cả': {'mì spaghetti trộn': '15.000 VNĐ/hộp', 'mì gói': '10.000 VNĐ/gói', 'mì hải sản chua cay (ly)': '12.000 VNĐ/ly'}, 'tên_quán': 'Kati', 'giờ_hoạt_động': [], 'số_người': []}",31,"{'REVIEW ĐỒ ĂN': {'món_chính': ['mì ly hải sản chua cay', 'mì trộn spaghetti', 'mì vị tôm và thịt gà', 'phở vị heo gà nấm', 'mì vị thịt heo bằm', 'mì kati chua cay', 'mì spaghetti', 'mì vị tôm và thịt gà', 'thanh long heo gà nấu nấm', 'phở thanh long vị gà', 'mì thịt heo bằm'], 'địa_điểm': [], 'đánh_giá': {'mì ly hải sản chua cay': 'tích cực', 'mì trộn spaghetti': 'tích cực', 'mì vị tôm và thịt gà': 'tiêu cực', 'phở vị heo gà nấm': 'trung lập', 'mì vị thịt heo bằm': 'tiêu cực', 'mì kati chua cay': 'tích cực', 'mì spaghetti': 'tích cực', 'thanh long heo gà nấu nấm': 'trung lập', 'phở thanh long vị gà': 'tích cực'}}, 'NẤU ĂN': {}, 'MUKBANG': {}, 'KHÁC': {}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,,{},32,"{'NẤU ĂN': {'món_chính': 'bò bít tết', 'món_phụ': [], 'nguyên_liệu': ['đu đủ', 'thịt thăn bò', 'hành tây', 'trứng', 'sốt tiêu đen'], 'đánh_giá': 'tích cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['mì thanh long đỏ vị hải sản chua cay', 'mì thanh long đỏ vị sốt spaghetti'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}}","{'giá_cả': [], 'tên_quán': 'Kati', 'giờ_hoạt_động': [], 'số_người': 1}",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,34,,Nấu ăn,"{'nau_an': {'mon_chinh': ['thịt xào cay', 'canh đậu hũ non hải sản'], 'mon_phu': [], 'nguyen_lieu': ['thịt', 'ớt bột', 'tương ớt', 'hành tây', 'hành baro', 'rau', 'dầu', 'hành mè', 'hạt mè', 'đậu hũ non', 'hải sản', 'nấm kim châm', 'dầu mè', 'nước tương', 'đường', 'gia vị đơn giản', 'cà rốt'], 'danh_gia': 'tích cực'}}","{'gia_ca': 'dâu đầu mùa giá hơi chát', 'ten_quan': None, 'gio_hoat_dong': None, 'so_nguoi': '2'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'Ngô xào xúc xích', 'món_phụ': None, 'nguyên_liệu': ['xúc xích', 'ngô ngọt (hoặc ngô nếp)', 'đường', 'nước mắm', 'giấm', 'tương cà', 'tương ớt', 'hành tây', 'bơ hoặc dầu ăn', 'hành lá'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,,"{'giá_cả': [], 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",36,,,,,,,,,"{'món_chính': ['quả maxsim'], 'địa_điểm': [], 'đánh_giá': 'tiêu cực'}",{},{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,38,,Khác,"{'loai_video': 'Khác', 'chu_de': 'mỳ tôm thanh long độc đáo', 'tu_khoa': ['mỳ tôm thanh long', 'thanh long', 'lời nhắn tình yêu'], 'tom_tat': 'Video giới thiệu về mỳ tôm thanh long độc đáo, lần đầu tiên có và mang thông điệp tình yêu.'}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,,"{'giá_cả': [], 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",39,"{'REVIEW ĐỒ ĂN': {'món_chính': ['chân giò muối'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'gà hấp mắm nhĩ', 'món_phụ': None, 'nguyên_liệu': [], 'đánh_giá': 'trung lập'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['bò kobe bình thường', 'nem nướng phên bình thường', 'thạch trái cây các vị', 'đùi gà rong biển', 'bim bim máy ngói', 'bỏng ngô (tặng kèm)'], 'địa_điểm': None, 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': 'nhà bà tuyết', 'giờ_hoạt_động': None, 'số_người': 1}",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Không xác định do không có lời thoại', 'từ_khóa': [], 'tóm_tắt': 'Video ẩm thực không có lời thoại, không thể xác định chủ đề và nội dung chi tiết.'}}","{'giá_cả': 'Không có thông tin', 'tên_quán': 'Không có thông tin', 'giờ_hoạt_động': 'Không có thông tin', 'số_người': 'Không có thông tin'}",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,,"{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",43,"{'NẤU ĂN': {'món_chính': 'thịt ram xả ớt', 'món_phụ': None, 'nguyên_liệu': ['thịt ba rọi', 'thịt ba chỉ', 'muối', 'sả', 'ớt', 'đường', 'hành', 'tỏi', 'nước sốt', 'dầu'], 'đánh_giá': 'tích cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,44,,Review đồ ăn,"{'review_do_an': {'mon_chinh': ['xiên thịt', 'xiên nướng', 'thịt lợn nướng', 'giồi sụn', 'xúc xích', 'ngầu lô', 'xúc xích to', 'đậu hũ phô mai', 'tôm viên', 'cá viên', 'bò viên', 'chả cá hàn quốc', 'bánh mì'], 'dia_diem': 'Đà Nẵng, đường Đà Nẵng, gần trường học', 'danh_gia': 'tích cực'}}","{'gia_ca': ['xiên 5k (5000 VND)', 'xiên 10k (10000 VND)', 'Tổng tiền khoảng 50.000 VND'], 'ten_quan': None, 'gio_hoat_dong': None, 'so_nguoi': '3-4'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['lẩu gà lá é', 'lẩu cô đơn một người', 'combo bốn món chiên', 'combo ngọc kê trứng non với tàu hũ ky', 'gà thêm', 'ốc cỏ', 'xôi xanh lá'], 'địa_điểm': ['Bình Thạnh', 'chi nhánh'], 'đánh_giá': 'tích cực'}}","{'giá_cả': ['79k (lẩu cô đơn một người)', '99k (combo bốn món chiên)', '109k (combo ngọc kê trứng non với tàu hũ ky)'], 'tên_quán': 'Ốc Cỏ Gà (có thể)', 'giờ_hoạt_động': None, 'số_người': '1'}",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,,{},47,"{'KHÁC': {'chủ_đề': 'Cảm xúc, tâm trạng', 'từ_khóa': ['cảm xúc', 'chia tay', 'tâm trạng', 'vượt qua'], 'tóm_tắt': 'Đoạn transcript thể hiện tâm trạng buồn bã, có thể là về sự chia tay hoặc khó khăn, nhưng cũng hướng tới sự chấp nhận và vượt qua.'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,48,,Review đồ ăn,"{'loai': 'REVIEW ĐỒ ĂN', 'mon_chinh': ['bánh canh', 'súp cua'], 'dia_diem': 'bánh canh cua bột gạo chị Liên', 'danh_gia': 'tích cực'}","{'gia_ca': 'bánh canh, súp cua: 20.000 - 25.000 VNĐ/tô', 'ten_quan': 'bánh canh cua bột gạo chị Liên', 'gio_hoat_dong': None, 'so_nguoi': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'bắp bò ngâm mắm', 'món_phụ': 'ớt xiêm xanh ngâm mắm', 'nguyên_liệu': ['bắp bò (beef shank)', 'quế hồi (cinnamon and star anise)', 'tiêu xanh (green peppercorns)', 'sả (lemongrass)', 'hành tây (onion)', 'gừng (ginger)', 'nước mắm (fish sauce)', 'đường (sugar)', 'nước (water)', 'giấm (vinegar)', 'tỏi (garlic)', 'ớt (chili)', 'ớt xiêm xanh (green chili)'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
